id;name;text;vocavulary_id
171;INFINITIVO;Weave;156
172;INFINITIVO;Wed;157
173;INFINITIVO;Weep;158
174;INFINITIVO;Win;159
175;INFINITIVO;Wring;160
176;INFINITIVO;Write;161
177;Pasado Simple;Became;6
178;Pasado Simple;Began;7
179;Pasado Simple;Bent;8
180;Pasado Simple;Bet/Betted;9
181;Pasado Simple;Bid / Bade;10
182;Pasado Simple;Bid;11
183;Pasado Simple;Bound;12
184;Pasado Simple;Bit;13
185;Pasado Simple;Bled;14
186;Pasado Simple;Blew;15
187;Pasado Simple;Broke;16
188;Pasado Simple;Bred;17
189;Pasado Simple;Brought;18
190;Pasado Simple;Broadcast / Broadcasted;19
191;Pasado Simple;Browbeat;20
192;Pasado Simple;Built;21
193;Pasado Simple;Burned / Burnt;22
194;Pasado Simple;Burst;23
195;Pasado Simple;Bought;24
196;Pasado Simple;Cast;25
197;Pasado Simple;Caught;26
198;Pasado Simple;Chose;27
199;Pasado Simple;Clung;28
200;Pasado Simple;Came;29
201;Pasado Simple;Cost;30
202;Pasado Simple;Crept;31
203;Pasado Simple;Cut;32
204;Pasado Simple;Dealt;33
205;Pasado Simple;Dug;34
206;Pasado Simple;Disproved;35
207;Pasado Simple;Did;36
208;Pasado Simple;Drew;37
209;Pasado Simple;Dreamt/ Dreamed;38
210;Pasado Simple;Drank;39
211;Pasado Simple;Drove;40
212;Pasado Simple;Ate;41
213;Pasado Simple;Fell;42
214;Pasado Simple;Fed;43
215;Pasado Simple;Felt;44
216;Pasado Simple;Fought;45
217;Pasado Simple;Found;46
218;Pasado Simple;Fled;47
219;Pasado Simple;Flew;48
220;Pasado Simple;Forbade;49
221;Pasado Simple;Forecast;50
222;Pasado Simple;Forgot;51
223;Pasado Simple;Forgave;52
224;Pasado Simple;Forsook;53
225;Pasado Simple;Froze;54
226;Pasado Simple;Got;55
227;Pasado Simple;Gave;56
228;Pasado Simple;Went;57
229;Pasado Simple;Ground;58
230;Pasado Simple;Grew;59
231;Pasado Simple;Hung;60
232;Pasado Simple;Had;61
233;Pasado Simple;Heard;62
